카테고리번호,HOT/ICE,분류,가격,이름,칼로리(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(g),나트륨(mg),콜레스테롤(mg),카페인(mg),알레르기 유발물질,연령
8,HOT,티,4900,캐모마일,0.5,0.1,0,0,0,0,5.5,0,0,0,-,"어린이, 청소년, 성인, 노인"
9,HOT,티,3900,페퍼민트,0.2,0,0,0.2,0,0,5.3,0,0,0,-,"어린이, 청소년, 성인, 노인"
10,HOT,티,4400,녹차,0.7,0,0,0.2,0,0,0,4.2,0,65.3,-,"어린이, 청소년, 성인, 노인"
11,HOT,티,4900,얼그레이,0.7,0,0,0.2,0,0,0,4.2,0,73.4,-,"어린이, 청소년, 성인, 노인"
12,HOT,티,4500,자몽차,297,73.1,58.1,0.4,0,0,0,84.2,0,0,-,"어린이, 청소년, 성인, 노인"
13,HOT,티,4800,레몬차,275.5,68.5,56.1,0.3,0.1,0,0,94.2,0,0,-,"어린이, 청소년, 성인, 노인"
14,HOT,티,3900,유자차,286.4,71.3,47.9,0.3,0,0,0,104,0,0,-,"어린이, 청소년, 성인, 노인"
15,HOT,티,3900,허니자몽블랙티,302.2,74.9,53.6,0.6,0.1,0,0,97.5,0,61.5,-,"어린이, 청소년, 성인, 노인"
16,HOT,티,3900,사과유자차,227.1,56.4,47,0.3,0.1,0,0,89.3,0,0,-,"어린이, 청소년, 성인, 노인"
17,HOT,티,3900,상큼리치티,274.8,67.4,64.1,0.7,0.3,0.1,0,10.1,0,0,복숭아,"어린이, 청소년, 성인, 노인"
1,ICE,티,3700,ICE 캐모마일,1.3,0.3,0,0.1,0,0,0,2.5,0,0,-,"어린이, 청소년, 성인, 노인"
2,ICE,티,3700,ICE 페퍼민트,2.5,0.6,0,0.1,0,0,0,3,0,0,-,"어린이, 청소년, 성인, 노인"
3,ICE,티,3300,ICE 녹차,1,0,0,0.3,0,0,0,2.1,0,78.8,-,"어린이, 청소년, 성인, 노인"
4,ICE,티,3500,ICE 얼그레이,1.3,0.1,0,0.3,0,0,0,2.1,0,87.2,-,"어린이, 청소년, 성인, 노인"
5,ICE,티,3700,복숭아아이스티,297.1,74.1,62.6,0.1,0,0,0,67.5,0,24,"복숭아, 아황산류","어린이, 청소년, 성인, 노인"
6,ICE,티,3800,왕메가아이스티,474.8,118.1,96.6,0.4,0.1,0,0,119.2,0,41.2,"복숭아, 아황산류","어린이, 청소년, 성인, 노인"
7,ICE,티,3500,제로슈가복숭아 아이스티,26.1,22.5,0.7,0.1,0.1,0,0,5.3,0,14.5,"복숭아, 아황산류","어린이, 청소년, 성인, 노인"
8,ICE,티,3800,ICE 자몽차,297.6,74,58.5,0.4,0,0,0,89.1,0,0,-,"어린이, 청소년, 성인, 노인"
9,ICE,티,3700,ICE 레몬차,327.5,81.6,68.9,0.3,0,0,0,101.3,0,0,-,"어린이, 청소년, 성인, 노인"
10,ICE,티,3500,ICE 유자차,303.1,75.5,59.4,0.3,0,0,0,99.1,0,0,-,"어린이, 청소년, 성인, 노인"
11,ICE,티,3500,ICE 허니자몽 블랙티,265.8,55.9,42.7,0.4,0.1,0,0,133,0,70.9,-,"어린이, 청소년, 성인, 노인"
12,ICE,티,3000,ICE 사과유자차,242.2,60.1,37.5,0.3,0.1,0,0,74.5,0,0,-,"어린이, 청소년, 성인, 노인"
13,ICE,티,3800,ICE 상큼 리치티,260.1,63.7,61.9,0.7,0.3,0,0,8,0,0,복숭아,"어린이, 청소년, 성인, 노인"
1,ICE,커피(ICE),3900,ICE 아메리카노,12.2,1.6,0,1,0.2,0,0,1.5,0,199.7,-,"어린이, 청소년, 성인, 노인"
2,ICE,커피(ICE),4400,메가리카노,16.7,2.1,0,1.5,0.3,0,0,0.7,0,290.8,-,"어린이, 청소년, 성인, 노인"
3,ICE,커피(ICE),3900,ICE 꿀아메리카노,162.2,39,30.6,0.9,0.3,0.1,0,7.2,0,198.6,-,"어린이, 청소년, 성인, 노인"
4,ICE,커피(ICE),3900,ICE 헤이즐넛 아메리카노,113.6,27,15.8,1,0.2,0,0,0.6,0,196.7,-,"어린이, 청소년, 성인, 노인"
5,ICE,커피(ICE),3900,ICE 바닐라 아메리카노,122.7,27.3,20.2,1.1,1.1,0.1,0,3.6,0,211.5,-,"어린이, 청소년, 성인, 노인"
6,ICE,커피(ICE),3900,ICE 카페라떼,145.1,13.3,9.2,8.5,6.5,3.8,0.2,88.5,27.1,199.1,우유,"어린이, 청소년, 성인, 노인"
7,ICE,커피(ICE),3900,ICE 카푸치노,132.4,11.4,1.1,7,6.5,4.2,0.3,54.8,20.9,192.3,우유,"어린이, 청소년, 성인, 노인"
8,ICE,커피(ICE),3900,ICE 바닐라라떼,239.2,37.9,23.7,7.1,6.6,3.9,0.2,74.1,19.7,195.1,우유,"어린이, 청소년, 성인, 노인"
9,ICE,커피(ICE),4800,ICE 헤이즐넛라떼,237.4,35.7,10.8,7.3,7.3,4.6,0.3,57,22.1,216.9,우유,"어린이, 청소년, 성인, 노인"
10,ICE,커피(ICE),4500,ICE 카라멜마끼아또,205,37.2,27.5,5,4,2.9,0,59.7,19.7,200,우유,"어린이, 청소년, 성인, 노인"
11,ICE,커피(ICE),3900,ICE 카페모카,294.4,44.6,33.9,7.1,9.7,8.8,0,113.3,12.5,232.5,"우유, 대두","어린이, 청소년, 성인, 노인"
12,ICE,커피(ICE),3900,ICE 큐브라떼,304.4,36.6,15,11.2,12.6,7.8,0.4,72.1,35.6,313.4,우유,"어린이, 청소년, 성인, 노인"
13,ICE,커피(ICE),3900,할메가커피(20oz),281.9,48.8,30.3,1.9,8.8,7.7,0,22.5,0,99.6,"우유, 대두","어린이, 청소년, 성인, 노인"
14,ICE,커피(ICE),4000,왕할메가커피(32oz),468.7,81.2,48.5,"3,1",14.6,12.3,0,36.8,0,196.4,"우유, 대두","어린이, 청소년, 성인, 노인"
15,ICE,커피(ICE),4000,ICE 연유라떼,351.5,35.7,31.9,11.8,18,8.5,0.5,123.6,39.5,165.9,우유,"어린이, 청소년, 성인, 노인"
16,ICE,커피(ICE),4000,라이트바닐라 아몬드라떼,75.3,12.2,3.1,2.1,2.1,0.2,0,119,0,206.2,-,"어린이, 청소년, 성인, 노인"
17,ICE,커피(ICE),4000,할메가 미숫커피,413,71.7,45.4,6.4,11.2,7.7,2,17.9,0,172.9,"우유, 대두, 밀","어린이, 청소년, 성인, 노인"
3,ICE,커피(ICE),3500,ICE 콜드브루,7.2,0.5,0,0.8,0.2,0,0,0.4,0,156.4,-,"어린이, 청소년, 성인, 노인"
4,ICE,커피(ICE),3500,ICE 콜드브루라떼,167.6,19.7,2.3,7,6.8,4.1,0.2,35.4,22.1,131.7,우유,"어린이, 청소년, 성인, 노인"
3,ICE,디카페인,3800,ICE 디카페인 콜드브루,7.7,0.8,0,0.5,0.3,0,0,0.1,0,8.7,-,"어린이, 청소년, 성인, 노인"
4,ICE,디카페인,3800,ICE 디카페인 콜드브루라떼,140.8,13.2,0,7.9,6.3,4,0.2,45.6,24,9.9,우유,"어린이, 청소년, 성인, 노인"
2,ICE,커피(ICE),3400,ICE 헛개리카노,34.7,6.7,0,1,0.5,0.1,0,8.4,0,181.2,-,"어린이, 청소년, 성인, 노인"
6,ICE,커피(ICE),3300,왕메가카페라떼,269.4,28.6,28.4,15,10.6,7.1,0.2,135.2,58.7,347.1,우유,"어린이, 청소년, 성인, 노인"
1,HOT,커피(HOT),2500,아메리카노,12.2,20,0,0.9,0.1,0,0,24,0,204.2,-,"어린이, 청소년, 성인, 노인"
2,HOT,커피(HOT),3700,꿀아메리카노,172.4,41.8,30.4,0.9,0.2,0.1,0,12.7,0,199.4,-,"어린이, 청소년, 성인, 노인"
3,HOT,커피(HOT),3700,헤이즐넛 아메리카노,82.7,19.6,9.5,0.9,0.1,0,0,2.6,0,209.8,-,"어린이, 청소년, 성인, 노인"
4,HOT,커피(HOT),3700,바닐라 아메리카노,97.8,21.3,15.7,1.4,0.8,0.1,0,5.3,0,220.7,,"어린이, 청소년, 성인, 노인"
5,HOT,커피(HOT),3900,카페라떼,175.4,15.5,10.8,10,8.1,5.2,0.3,101.5,291,189.9,우유,"어린이, 청소년, 성인, 노인"
6,HOT,커피(HOT),4400,카푸치노,145.5,13.7,3.4,8.2,6.4,4.1,0.2,60.7,23.4,201.4,우유,"어린이, 청소년, 성인, 노인"
7,HOT,커피(HOT),4900,바닐라라떼 ,235.2,34.6,29.6,8.7,6.9,4.7,0.3,85.9,23.9,189.9,우유,"어린이, 청소년, 성인, 노인"
8,HOT,커피(HOT),4700,헤이즐넛 라떼,240.5,32.9,9.7,9.1,8.1,5.1,0.2,63.1,26.6,204.6,우유,"어린이, 청소년, 성인, 노인"
9,HOT,커피(HOT),4900,카라멜마끼아또,243.3,34,26.1,8.9,8,4.1,0,90.7,26.7,203.4,우유,"어린이, 청소년, 성인, 노인"
10,HOT,커피(HOT),3900,연유라떼,321.6,43.1,32.8,13,10.8,5.4,0.4,144.6,40,194.2,우유,"어린이, 청소년, 성인, 노인"
11,HOT,커피(HOT),4400,카페모카,359.6,53.8,40.8,11.2,11.1,10.5,0,159.8,23.6,233.2,"우유, 대두","어린이, 청소년, 성인, 노인"
12,HOT,커피(HOT),4900,에스프레소,7.6,1.1,0,0.5,0.2,0,0,0.2,0,104.8,-,"어린이, 청소년, 성인, 노인"
13,HOT,커피(HOT),4500,에스프레소도피오,15.2,2.1,0,1,0.3,0.1,0,0.4,0,184.7,-,"어린이, 청소년, 성인, 노인"
1,HOT,커피(HOT),4000,HOT 콜드브루,10.6,1.3,0,1,0.2,0,0,1.5,0,217,-,"어린이, 청소년, 성인, 노인"
2,HOT,커피(HOT),3900,HOT 콜드브루라떼,164.2,13.3,2.1,9,8.3,5.2,0.3,54.4,25.7,216.7,우유,"어린이, 청소년, 성인, 노인"
